city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,humidity,dist_road_km,dist_industry_km,dist_farmland_km,season,pollution_source
Ahmedabad,2020-11-30,5,520.71,2.38,16.28,130.18,47.68,65.96,72.13,8.36,51.17401416461989,0.298184125504926,2.5325459313364114,7.626850614372489,4,Natural
Ahmedabad,2020-12-01,5,1682.28,7.71,54.84,0.73,21.7,120.95,154.53,27.36,33.437940221103354,3.0929240930495387,7.128560558852645,3.1660843403624903,1,Natural
Ahmedabad,2020-12-02,5,1815.8,16.54,49.35,0.17,23.84,133.47,172.63,28.12,47.79454594518325,4.918975723424006,7.789530582411452,0.3781928905700667,1,Natural
Ahmedabad,2020-12-03,5,2296.45,41.57,40.1,0.0,35.76,150.37,202.15,36.48,55.51227930448029,1.0063078944652941,6.831888756480924,6.992822605356004,1,Natural
Ahmedabad,2020-12-04,5,2189.64,23.92,58.95,0.02,28.13,160.79,205.8,40.53,73.92504192242887,1.7727362060706267,3.0193240322616575,2.404433928022004,1,Natural
Ahmedabad,2020-12-05,5,3845.22,57.22,137.09,0.0,110.63,249.51,322.46,178.34,68.6389524694714,0.5438761244489488,0.21804382907432104,5.868524548268839,1,Industrial
Ahmedabad,2020-12-06,5,2883.91,27.94,98.71,0.02,84.88,232.03,281.96,96.26,75.43247265726141,4.560443495614322,1.0125107464780059,8.011060704497313,1,Natural
Ahmedabad,2020-12-07,5,1628.88,19.89,40.1,0.02,21.22,106.27,143.12,31.67,40.90891121256334,2.4773937969559663,7.7963317998413695,9.564492553737042,1,Natural
Ahmedabad,2020-12-08,5,1735.69,9.28,59.63,0.59,25.99,122.37,163.42,43.06,58.20518950648199,2.781442000970189,5.782377194936139,3.9994708100726077,1,Natural
Ahmedabad,2020-12-09,5,2857.21,34.87,69.92,0.0,46.25,213.63,276.18,58.77,38.18630674560544,2.4954185116424035,3.6247333109950395,8.008758803594876,1,Burning
Ahmedabad,2020-12-10,5,1762.39,6.48,67.17,1.54,28.61,145.72,184.11,38.0,46.17296848297876,3.527931183372496,7.798766111488164,1.3852790668038408,1,Natural
Ahmedabad,2020-12-11,5,540.73,0.0,16.79,91.55,21.46,84.27,89.55,3.17,79.82764310196131,2.7177096617617313,7.467478943143764,0.6015803721269425,1,Natural
Ahmedabad,2020-12-12,5,1695.63,11.96,40.44,0.2,19.31,129.55,154.0,9.63,84.04043707592656,3.488818697480833,7.50783523417187,0.37524452341990705,1,Natural
Ahmedabad,2020-12-13,5,3845.22,84.04,54.15,0.0,53.88,294.44,372.0,61.81,62.63759677214674,1.6332671918651906,3.170639959672489,7.6337151891834685,1,Natural
Ahmedabad,2020-12-14,5,1388.55,2.68,61.01,8.76,16.69,103.12,121.52,19.25,66.1976222718425,1.6517318372241299,4.082311084165943,6.793524272929358,1,Natural
Ahmedabad,2020-12-15,5,2323.15,39.79,46.61,0.0,22.89,154.42,203.12,24.07,65.16891965908134,3.5461045027482125,5.594890100673706,6.519464964013713,1,Natural
Ahmedabad,2020-12-16,5,807.76,0.0,28.79,53.64,18.84,82.19,92.38,14.31,85.93223217653983,3.1851464996186505,7.529732816141558,4.303303991828759,1,Natural
Ahmedabad,2020-12-17,5,640.87,0.0,14.74,72.96,14.19,75.38,85.11,12.16,57.76768397652325,1.7572659936355486,3.2535465920811073,3.8187544661463386,1,Natural
Ahmedabad,2020-12-18,5,727.65,0.0,17.82,66.52,14.42,86.72,99.66,14.31,48.592311130255794,4.481853887817627,2.563911854575398,5.948735811215367,1,Natural
Ahmedabad,2020-12-19,5,654.22,0.0,14.74,76.53,13.47,79.28,89.38,12.41,45.47447386070915,3.8574402180811154,2.2510754982873262,2.3325959043217037,1,Natural
Ahmedabad,2020-12-20,4,520.71,0.0,14.05,59.37,10.49,39.45,47.61,12.29,42.05567604107934,1.807631210996124,6.608311810321565,0.4931574850278979,1,Natural
Ahmedabad,2020-12-21,5,620.84,0.0,17.31,42.56,10.73,55.16,65.83,13.81,34.99380885334308,4.387370109460447,4.176094688009503,8.84347266776333,1,Natural
Ahmedabad,2020-12-22,5,961.3,0.41,30.5,13.95,15.14,77.91,96.79,18.75,65.72834119307977,2.9295865014583704,0.39796637858785,3.949955858179866,1,Natural
Ahmedabad,2020-12-23,5,1522.06,16.54,35.64,0.12,17.41,117.6,148.87,23.81,59.934548982612775,0.6133089592186645,4.413648090022793,2.8600597113758095,1,Natural
Ahmedabad,2020-12-24,5,2510.07,46.49,45.93,0.0,23.84,167.85,223.14,37.49,85.89292577896924,4.293041267927693,4.8454624304089,0.6116912418272578,1,Natural
Ahmedabad,2020-12-25,5,1148.22,3.13,38.73,4.78,14.42,108.53,133.88,20.01,55.6935130174049,0.34792040283308,6.002175110023031,6.974208067369064,1,Natural
Ahmedabad,2020-12-26,5,854.49,0.03,24.68,26.46,14.42,94.91,111.12,16.21,41.840332688397496,0.753751576258954,2.47815526766369,2.0610933459041347,1,Natural
Ahmedabad,2020-12-27,5,3070.83,43.36,127.49,0.0,82.02,239.23,296.21,143.89,51.6587631594685,1.0698192718128903,4.933111230845344,1.6343591376023692,1,Natural
Ahmedabad,2020-12-28,5,574.11,0.0,21.76,71.53,19.31,68.91,139.67,11.78,46.00179969242798,2.843379056568771,3.22894808668192,4.091848955805062,1,Natural
Ahmedabad,2020-12-29,5,1041.41,3.13,38.39,4.07,16.93,62.63,101.28,21.53,73.06785258008699,2.629741470814282,6.982705670082091,0.6645197917450912,1,Natural
